"age";"pea";"Bb";"Bl";"Bf";"Bn";"Br";"Bc";"Ab";"Al";"Af";"An";"Ar";"Ac";"sex"
"29";55;27;13;12;9;17;10;15;19;23;11;24;9;13;1
"30";48;62;22;11;10;27;10;12;17;29;14;41;13;20;1
"31";53;42;15;16;9;15;8;10;24;13;13;16;15;14;1
"32";57;50;14;19;4;17;8;5;25;20;14;22;14;12;1
"33";51;47;19;21;11;26;10;10;29;52;16;49;10;20;1
"34";64;34;23;21;12;18;11;18;23;23;8;27;9;10;1
"35";56;66;22;29;11;20;10;11;25;41;14;35;14;16;1
"36";47;33;24;16;9;14;11;15;21;31;13;30;13;11;1
"37";59;53;28;17;13;29;13;18;29;32;14;42;12;19;1
"38";53;54;15;16;7;18;10;11;23;31;14;32;13;12;1
"39";57;59;25;12;10;17;9;13;26;11;16;22;10;14;1
"40";60;73;30;29;12;40;11;18;40;54;22;70;19;27;1
"41";48;65;29;16;16;31;15;16;25;11;17;31;15;16;1
"42";52;18;4;17;2;5;5;6;24;21;15;20;9;15;1
"43";61;72;27;34;12;33;15;11;31;47;17;37;14;17;1
"44";53;60;22;35;12;34;11;16;27;39;15;49;9;18;1
"45";56;69;25;14;12;28;14;14;29;41;19;38;15;17;1
"46";62;40;26;18;12;28;11;18;28;29;6;28;9;11;1
"47";54;60;24;19;11;29;14;18;30;43;14;40;12;21;1
"48";55;53;27;15;15;24;11;16;31;33;16;28;13;18;1
"49";41;17;9;13;4;3;9;6;22;22;11;17;7;10;1
"50";57;41;24;24;17;30;12;18;28;49;18;40;16;19;1
"51";55;84;33;27;14;35;11;16;33;27;17;44;14;23;1
"52";52;27;18;2;9;15;7;7;20;17;11;17;11;15;1
"53";55;58;30;18;13;37;17;19;27;34;14;39;13;20;1
"54";56;38;23;17;6;14;10;8;23;3;9;19;9;7;1
"55";62;30;11;6;2;12;8;10;12;1;9;24;8;10;1
"56";44;53;15;11;7;11;7;7;19;15;9;15;9;12;1
"57";52;58;23;20;8;23;7;13;28;19;14;39;11;16;1
"58";47;54;18;17;7;25;10;13;22;26;17;32;16;25;1
"59";46;22;7;4;3;3;7;7;12;5;4;3;5;5;1
"60";50;33;13;14;8;7;8;10;29;28;15;24;9;15;1
"61";58;43;22;14;12;23;11;12;22;39;14;45;14;19;1
"62";46;46;14;10;10;23;10;16;25;32;13;27;11;13;1
"63";34;25;17;1;7;9;7;12;17;14;7;12;6;7;1
"64";60;59;31;34;15;43;14;13;29;48;19;62;16;22;1
"65";52;41;15;22;3;16;7;8;15;17;8;9;5;7;1
"66";52;73;25;24;14;29;15;8;27;32;16;40;14;19;1
"67";50;58;23;30;10;27;13;16;21;30;15;30;12;12;1
"68";56;39;24;13;12;31;13;15;30;15;11;15;12;6;1
"69";45;42;24;1;12;11;9;13;29;30;17;43;11;17;1
"70";53;36;23;19;11;34;13;10;23;10;11;11;11;4;1
"71";55;55;25;9;9;18;11;11;27;42;19;43;14;18;1
"72";56;66;27;27;13;35;14;16;24;33;13;31;10;17;1
"73";55;58;20;18;10;25;12;14;32;30;15;23;7;14;1
"74";59;39;23;23;14;23;10;8;29;18;18;31;12;13;1
"75";52;31;25;21;12;23;9;12;30;33;14;23;10;12;1
"76";57;47;24;32;20;34;10;22;26;28;15;30;12;19;1
"77";58;63;31;43;15;46;17;16;30;44;15;36;12;19;1
"78";52;33;11;13;6;6;6;6;19;10;8;21;11;14;1
"79";45;72;32;13;14;24;13;10;33;34;20;37;14;13;1
"80";56;22;16;10;8;3;8;6;28;22;13;17;12;14;1
"81";51;77;27;4;12;30;16;19;30;16;18;38;12;15;1
"82";62;65;20;26;11;36;15;20;20;39;15;35;13;19;1
"83";57;37;22;1;10;8;9;13;25;17;17;13;9;12;1
"84";54;35;19;30;12;37;13;18;24;38;11;42;9;17;1
"85";50;48;19;23;10;26;8;14;21;20;15;25;12;21;1
"86";46;48;24;20;10;37;12;12;23;27;11;27;14;11;1
"87";53;58;24;12;7;21;8;12;27;21;16;21;10;15;1
"88";59;32;16;20;10;14;9;9;16;29;11;25;11;12;1
"89";51;48;21;12;12;24;11;19;24;30;15;45;14;21;1
"90";54;54;23;2;9;14;11;9;27;37;15;33;10;17;1
"91";42;36;26;15;11;21;11;13;22;34;12;28;7;13;1
"92";42;25;8;5;6;6;9;5;14;3;5;8;7;4;1
"93";52;54;25;22;14;26;9;13;21;18;10;23;9;13;1
"94";45;35;5;1;1;3;1;1;26;19;12;15;10;10;1
"95";48;46;24;18;13;22;17;15;30;10;12;24;10;17;1
"96";52;36;15;10;6;9;6;3;20;19;9;33;13;12;1
"97";46;30;16;12;12;5;6;17;29;30;13;34;12;15;1
"98";57;59;25;27;14;26;13;12;31;53;20;47;16;22;1
"99";52;57;27;14;16;21;11;15;25;32;18;44;14;24;1
"100";47;15;23;17;9;11;6;8;26;30;18;33;14;15;1
"101";43;21;24;6;13;18;7;13;33;35;17;31;12;16;1
"102";38;31;13;20;5;17;8;8;18;36;16;34;13;18;1
"103";49;45;15;2;11;8;11;11;20;23;11;26;10;12;1
"104";46;16;9;7;2;6;9;3;19;7;8;2;8;7;1
"105";44;24;12;3;9;10;4;10;18;11;15;29;13;12;1
"106";46;55;20;25;12;32;11;14;25;39;18;37;11;15;1
"107";55;57;26;18;13;26;12;12;26;30;14;26;11;12;1
"108";51;63;24;13;10;24;9;9;31;41;20;56;14;23;1
"109";54;64;20;12;9;32;12;12;21;19;15;34;13;16;1
"110";56;50;20;15;8;21;8;10;10;7;11;14;7;17;1
"111";47;41;18;21;11;14;10;10;25;27;13;24;13;18;1
"112";43;32;11;3;4;2;8;7;6;7;9;4;7;7;1
"113";46;62;15;10;9;23;9;9;27;33;18;45;17;24;1
"114";57;49;26;22;15;22;11;13;23;45;18;42;13;21;1
"115";50;22;12;14;8;12;8;12;16;16;11;15;9;16;1
"116";52;30;17;5;4;0;8;6;21;12;11;10;10;9;2
"117";38;36;23;15;3;14;6;7;23;24;8;23;13;15;2
"118";60;78;32;17;12;29;14;14;30;57;17;55;16;21;2
"119";45;35;13;11;12;9;10;7;15;6;8;6;10;6;2
"120";54;46;19;12;11;16;13;13;24;17;14;20;10;19;2
"121";53;31;20;8;7;10;6;2;19;3;4;13;6;6;2
"122";55;71;26;18;12;23;10;16;31;36;17;36;14;20;2
"123";46;62;39;18;15;35;15;15;33;47;19;51;16;23;2
"124";55;58;29;29;15;31;11;15;29;43;17;42;9;19;2
"125";47;30;22;19;8;12;6;13;29;13;14;19;7;8;2
"126";49;30;28;12;7;7;8;9;31;27;10;28;13;17;2
"127";45;31;22;3;4;1;1;1;17;18;12;5;7;11;2
"128";52;67;32;19;16;27;12;20;35;43;17;45;15;25;2
"129";51;59;24;26;14;31;14;18;34;62;21;53;14;22;2
"130";60;55;23;15;12;26;11;13;26;16;11;40;11;20;2
"131";41;28;18;7;6;7;5;12;15;15;13;25;9;18;2
"132";48;58;20;17;12;20;9;6;23;26;11;19;14;9;2
"133";47;45;21;16;11;23;11;13;31;31;14;29;12;15;2
"134";51;84;22;9;13;27;10;14;23;37;16;39;12;19;2
"135";39;29;19;1;5;3;9;13;24;16;12;16;10;10;2
"136";45;34;18;30;12;21;10;9;27;39;8;37;14;12;2
"137";44;73;28;23;14;32;9;11;29;43;20;38;12;21;2
"138";44;51;20;23;7;21;6;14;27;27;16;32;17;16;2
"139";57;61;23;21;8;32;12;17;27;33;12;29;8;16;2
"140";53;55;24;29;9;36;10;11;24;46;12;46;16;15;2
"141";40;32;12;11;3;3;7;6;18;4;9;3;5;6;2
"142";53;57;35;14;13;21;7;19;35;39;21;34;15;25;2
"143";40;57;20;25;11;28;9;16;30;31;19;37;13;21;2
"144";62;51;27;35;13;33;16;21;27;39;14;37;8;18;2
"145";48;43;18;16;6;21;11;5;22;27;7;30;14;10;2
"146";46;43;30;24;15;36;12;21;35;47;22;48;15;26;2
"147";46;28;19;21;7;24;7;8;22;15;16;27;12;14;2
"148";57;66;32;11;12;33;15;17;36;36;17;43;11;18;2
"149";40;23;19;1;6;15;6;10;23;27;12;23;11;12;2
"150";42;72;19;21;9;22;9;11;18;18;9;16;8;12;2
"151";53;49;26;31;12;28;13;16;33;51;14;51;14;19;2
"152";47;64;23;15;14;31;15;20;35;50;22;43;13;27;2
"153";49;64;21;22;9;19;10;12;21;33;10;30;12;12;2
"154";50;44;22;12;8;20;9;12;29;28;15;30;14;18;2
"155";53;40;27;10;7;20;12;9;24;25;14;28;12;10;2
"156";52;44;22;8;7;16;5;10;28;34;10;29;13;15;2
"157";45;34;19;25;8;18;4;6;22;23;11;22;11;14;2
"158";58;32;31;5;12;24;12;15;26;15;14;25;10;16;2
"159";50;36;14;18;7;12;6;8;24;24;20;31;13;18;2
"160";60;23;14;15;11;23;9;14;21;21;13;27;10;14;2
"161";43;21;20;14;4;14;9;6;20;27;13;33;13;16;2
"162";60;33;27;15;10;30;9;20;29;33;23;31;12;24;2
"163";44;27;11;2;5;12;7;8;22;15;11;21;9;15;2
"164";49;36;14;13;3;14;8;5;24;24;11;28;11;15;2
"165";49;49;24;22;13;19;7;9;25;16;6;24;11;8;2
"166";54;37;15;26;11;29;8;15;17;13;12;21;15;14;2
"167";51;22;13;25;3;16;9;12;31;26;15;27;15;17;2
"168";55;73;27;16;12;30;10;15;30;30;17;37;13;25;2
"169";37;37;13;6;10;6;6;4;20;3;10;1;2;10;2
"170";59;72;16;19;11;25;15;10;23;34;17;51;12;20;2
"171";43;58;17;5;7;11;6;9;25;25;20;30;10;22;2
"172";56;68;33;18;10;29;9;11;36;39;18;47;15;19;2
"173";55;64;27;10;15;35;12;12;28;31;19;45;13;19;2
"174";47;49;9;17;8;14;4;12;20;26;14;21;11;16;2
"175";53;55;17;27;9;24;10;13;22;24;14;22;10;18;2
"176";54;59;25;20;17;23;12;15;32;43;19;43;14;27;2
"177";55;53;20;15;11;23;12;21;23;30;15;29;14;14;2
"178";51;43;19;10;5;7;9;9;25;21;13;27;7;13;2
"179";48;39;12;15;6;11;4;8;20;20;11;28;11;18;2
"180";52;59;26;19;7;22;9;6;19;17;12;22;8;8;2
"181";55;40;19;7;7;20;13;13;29;18;16;21;14;14;2
"182";58;26;23;10;4;13;11;9;23;21;8;23;10;15;2
"183";53;52;22;23;11;20;7;16;30;33;17;21;13;16;2
"184";56;89;29;14;16;32;13;22;32;33;17;35;13;20;2
"185";60;69;22;19;9;24;9;13;30;30;19;31;11;23;2
"186";57;72;18;16;11;27;13;12;25;36;14;32;11;15;2
"187";57;44;27;29;14;32;14;15;29;27;14;41;13;17;2
"188";49;24;17;3;7;3;10;9;24;11;15;12;12;13;2
"189";49;37;26;30;11;33;12;12;29;40;12;38;14;17;2
"190";72;35;30;20;10;36;15;21;31;18;14;44;16;19;2
"191";38;18;18;10;7;8;8;9;20;27;15;34;11;16;2
"192";49;38;22;12;10;22;12;12;23;23;15;34;13;15;2
"193";55;26;20;13;10;24;8;14;25;47;18;54;10;25;2
"194";44;50;22;18;11;29;9;13;26;32;12;43;10;11;2
"195";43;56;12;13;6;4;6;9;19;8;8;11;6;10;2
"196";36;44;21;4;9;7;5;8;20;4;12;16;7;10;2
"197";53;31;15;5;4;13;9;5;21;4;9;17;8;8;2
"198";55;30;30;26;17;29;10;18;33;35;18;53;16;19;2
"199";45;51;20;4;6;16;11;11;19;40;10;36;13;14;2
"200";63;68;37;29;11;33;15;19;31;35;16;39;12;17;2
"201";52;51;21;14;9;26;10;10;25;22;13;28;12;16;2
"202";55;34;25;23;7;21;10;13;28;33;14;28;12;14;2
"203";53;55;22;11;6;15;8;9;28;22;10;31;14;14;2
"204";53;67;25;22;8;48;16;21;36;52;21;51;14;26;2
"205";51;45;17;6;11;8;9;12;27;14;16;31;12;18;2
"206";53;19;14;8;6;1;7;4;17;34;11;23;13;14;2
"207";48;42;21;4;6;10;9;10;19;2;7;12;6;10;2
"208";52;50;21;14;12;27;7;12;29;22;12;21;10;11;2
"209";58;68;29;38;16;40;15;22;26;47;12;47;11;18;2
"210";44;36;17;4;12;8;5;12;27;12;11;18;9;14;2
"211";59;39;10;11;6;20;6;9;19;21;9;9;7;7;2
"212";56;86;32;34;15;42;15;20;31;50;17;53;16;26;2
"213";62;71;30;30;22;42;14;28;28;48;21;55;13;22;2
"214";52;48;31;22;19;38;16;22;35;37;18;48;14;23;2
"215";51;22;8;4;7;3;6;2;16;3;5;5;7;4;2
"216";54;48;27;22;12;23;11;15;23;27;14;32;11;17;2
"217";60;35;15;10;3;10;5;8;23;19;12;21;11;19;2
"218";50;56;29;28;16;23;15;18;30;58;20;41;12;21;2
"219";64;82;34;28;13;42;16;20;31;41;21;56;17;27;2
"220";46;46;24;16;12;28;11;14;24;27;10;31;10;13;2
"221";54;58;18;15;9;21;11;10;26;23;12;25;10;17;2
"222";49;35;16;3;7;11;10;2;24;23;9;24;8;13;2
"223";57;58;29;11;10;19;12;15;27;24;15;36;13;22;2
"224";59;36;25;10;17;27;10;15;31;33;20;50;19;24;2
"225";44;42;18;11;8;12;6;8;23;21;10;18;9;13;2
"226";35;35;23;14;10;18;7;11;30;33;14;33;12;16;2
"227";56;66;24;23;11;24;12;16;25;30;12;32;12;15;2
"228";48;25;14;8;8;10;4;4;26;17;12;18;5;11;2
"229";47;44;16;11;9;3;6;8;23;21;9;21;7;12;2
"230";56;35;24;20;9;39;12;16;28;8;6;24;10;16;2
"231";52;39;24;18;7;22;11;13;17;7;9;10;9;9;2
"232";52;64;30;10;15;24;9;16;34;34;18;49;15;25;2
"233";46;28;12;23;6;15;4;9;24;10;10;16;9;9;2
"234";41;20;15;19;5;14;6;7;8;0;3;8;7;5;2
"235";36;34;17;4;7;1;6;8;24;27;6;16;10;8;2
"236";53;34;21;17;10;13;8;11;27;28;14;28;13;19;2
"237";55;55;29;12;9;24;13;10;32;36;15;49;13;14;2
"238";58;18;19;12;6;16;9;8;27;23;10;18;10;10;2
"239";52;50;21;19;7;18;5;9;24;21;7;15;12;12;2
"240";55;42;27;26;18;30;10;15;29;37;13;37;10;15;2
