"sex";"site";"setting";"viewenc";"age";"peabody";"prenumb";"postnumb";"funumb"
2;"3";2;0;56;41;31;46;31
2;"3";1;0;55;58;21;23;31
2;"4";2;0;50;37;16;6;31
1;"4";2;1;49;43;17;24;31
2;"1";1;0;40;17;18;15;32
1;"1";1;1;49;68;33;33;33
2;"1";2;0;60;28;21;38;33
1;"2";1;0;47;48;23;47;33
1;"3";2;0;57;60;26;23;33
1;"4";1;0;63;46;16;26;33
2;"1";1;0;44;32;13;18;34
2;"2";2;0;51;68;13;13;34
1;"3";1;0;57;25;18;22;34
1;"3";1;0;57;41;10;21;34
1;"3";2;0;50;16;18;22;34
2;"2";2;0;59;69;38;48;35
2;"3";2;0;54;67;1;16;35
1;"3";2;0;47;48;14;31;35
1;"4";2;0;57;39;16;39;35
2;"4";2;1;58;63;44;23;35
1;"1";2;0;50;28;14;17;36
2;"2";1;0;57;48;28;40;36
2;"5";1;1;53;61;27;41;36
1;"1";2;0;53;46;32;33;37
1;"3";2;1;48;48;7;32;37
2;"5";1;0;55;63;29;37;37
1;"1";2;1;51;42;17;30;38
2;"1";1;0;45;42;13;24;38
1;"3";1;0;53;30;17;29;38
2;"3";1;0;52;44;22;35;38
2;"4";2;0;55;32;5;6;38
1;"5";1;0;47;47;22;32;38
2;"2";2;1;51;60;22;49;39
2;"2";2;0;47;47;3;35;39
1;"3";1;0;53;29;13;16;39
1;"3";1;0;55;53;14;12;39
1;"4";1;1;48;45;11;15;39
1;"1";2;0;56;34;30;28;40
2;"2";2;0;58;67;39;45;40
2;"4";2;1;45;38;16;20;40
2;"4";1;0;49;37;9;31;40
2;"1";2;0;54;40;22;39;41
1;"1";2;1;58;65;24;46;41
1;"4";2;0;56;38;29;38;41
1;"1";2;1;49;30;20;34;42
2;"1";1;0;40;23;11;23;42
1;"1";1;0;58;63;27;35;42
2;"2";2;0;49;64;20;27;42
1;"1";2;0;55;36;22;36;43
1;"2";1;0;51;57;19;38;43
2;"3";2;1;42;43;24;41;43
2;"3";2;1;62;41;30;33;43
1;"3";1;0;47;28;9;21;43
1;"5";1;0;51;45;12;24;43
1;"2";2;1;59;85;49;45;44
2;"2";1;0;57;80;40;46;44
1;"3";1;1;60;33;5;24;45
1;"4";2;0;53;32;16;21;45
1;"5";1;0;56;60;19;40;45
1;"5";1;0;57;31;14;28;45
1;"1";2;1;49;44;26;9;46
2;"1";1;0;35;39;0;14;46
1;"1";1;0;54;62;41;36;46
1;"2";2;0;59;63;34;53;46
1;"2";2;0;60;92;36;46;46
2;"3";1;1;47;45;20;26;46
2;"3";1;0;55;59;14;24;46
2;"4";2;0;58;46;37;21;46
2;"1";1;0;41;75;24;29;47
2;"1";2;0;59;49;52;52;47
2;"2";2;0;47;58;39;59;47
2;"2";1;0;50;76;24;30;47
1;"2";1;0;58;67;19;38;47
2;"1";1;1;48;49;32;33;48
2;"2";2;0;63;55;29;59;48
2;"3";1;0;52;29;2;31;48
1;"3";1;0;56;49;17;19;48
2;"4";1;0;44;42;15;30;48
2;"3";1;0;45;20;2;19;50
2;"5";1;0;39;38;7;31;50
1;"1";1;0;54;60;31;29;51
1;"1";1;0;50;47;42;42;51
1;"4";1;1;54;21;13;28;51
1;"4";1;0;52;51;21;27;52
1;"2";2;0;53;71;23;48;53
2;"3";1;1;59;42;33;42;53
1;"2";1;0;46;51;22;52;54
2;"2";2;0;52;49;16;24;55
1;"2";2;0;54;82;45;53;55
1;"2";1;0;48;74;19;41;55
1;"1";1;1;57;78;40;33;56
1;"2";1;0;49;76;35;50;56
1;"2";1;0;38;25;15;45;57
2;"3";1;0;64;43;29;40;57
1;"1";2;0;66;62;51;53;58
1;"2";2;0;56;74;38;56;58
2;"1";1;0;42;55;31;49;59
2;"3";1;0;46;28;12;25;60
2;"4";2;0;48;47;34;28;60
2;"4";2;0;54;54;22;26;61
1;"1";1;1;45;60;29;39;62
1;"2";2;0;45;63;21;31;62
2;"2";1;0;56;56;31;39;62
1;"3";1;1;53;27;15;28;62
1;"1";1;0;57;43;30;44;63
2;"4";1;0;54;44;26;40;63
2;"4";2;0;59;36;9;24;64
1;"5";1;0;46;78;33;22;64
2;"1";1;0;41;44;24;29;65
2;"3";1;0;66;55;33;50;65
2;"3";1;0;53;43;21;40;65
2;"4";2;0;48;28;20;38;65
2;"2";1;0;45;64;23;42;67
1;"5";1;0;55;62;22;39;67
2;"4";2;0;41;43;22;37;68
1;"3";1;0;56;53;14;23;70
1;"1";2;0;60;55;31;41;71
1;"1";2;0;62;75;30;30;72
2;"1";2;1;51;40;13;30;73
2;"2";1;1;48;52;27;33;74
1;"1";2;1;54;34;22;52;75
2;"2";2;0;52;78;23;32;75
2;"1";2;0;48;33;6;23;76
2;"4";1;0;49;55;28;45;78
2;"2";1;0;50;54;25;50;80
1;"2";2;0;57;79;35;63;81
1;"2";1;1;43;46;24;54;81
2;"1";2;0;60;65;48;56;91
1;"2";1;0;53;69;38;55;91
