ID,scenario_nr,response,location,person,misconception,condition_medium,condition_bystanders,item_nr,correct,certainty,gender,age,language,language_skill
u0maxp50,28,8,book store,colleague,lightning never strikes twice,offline,none,8,0,5,female,19,english,advanced
u0maxp50,29,3,movie theater,stranger,bulls red cape,offline,several,6,0,5,female,19,english,advanced
u0maxp50,32,8,train,student,cracking knuckles,offline,none,2,0,4,female,19,english,advanced
u0maxp50,33,6,train,stranger,high altitude coin,offline,none,9,0,4,female,19,english,advanced
u0maxp50,34,9,university,friend,Great Wall of China,offline,none,7,0,5,female,19,english,advanced
u0maxp50,35,7,bar,colleague,10% brain,offline,none,1,1,5,female,19,english,advanced
u0maxp50,36,6,park,friend,short Napoleon,offline,several,13,0,5,female,19,english,advanced
u0maxp50,37,8,book store,stranger,Vikings horned helmets,offline,none,12,0,2,female,19,english,advanced
u0maxp50,39,5,festival,student,Vikings horned helmets,offline,several,12,0,2,female,19,english,advanced
u0maxp50,41,8,park,friend,high altitude coin,offline,several,9,0,4,female,19,english,advanced
u0maxp50,42,6,train,colleague,Middle Ages life expectancy,offline,several,11,1,1,female,19,english,advanced
u0maxp50,43,6,bar,stranger,lightning never strikes twice,offline,none,8,0,5,female,19,english,advanced
u0maxp50,44,6,museum,friend,ostriches head in sand,offline,several,5,0,3,female,19,english,advanced
u0maxp50,45,6,festival,friend,eating before swimming,offline,several,4,1,3,female,19,english,advanced
u0maxp50,46,9,university,stranger,10% brain,offline,none,1,1,5,female,19,english,advanced
u0maxp50,47,7,university,friend,short Napoleon,offline,several,13,0,5,female,19,english,advanced
u0maxp50,48,9,park,stranger,wait 24 hours,offline,several,15,0,5,female,19,english,advanced
4dgkjp90,1,8,park,stranger,short Napoleon,offline,none,13,1,4,female,19,english,fluent
4dgkjp90,2,8,festival,stranger,Middle Ages life expectancy,offline,none,11,0,3,female,19,english,fluent
4dgkjp90,3,9,park,colleague,wait 24 hours,offline,none,15,1,4,female,19,english,fluent
4dgkjp90,6,8,university,stranger,wait 24 hours,offline,several,15,1,4,female,19,english,fluent
4dgkjp90,7,8,museum,friend,cracking knuckles,offline,several,2,1,3,female,19,english,fluent
4dgkjp90,8,8,movie theater,student,short Napoleon,offline,none,13,1,4,female,19,english,fluent
4dgkjp90,9,8,train,friend,cracking knuckles,offline,several,2,1,3,female,19,english,fluent
4dgkjp90,10,9,bar,colleague,10% brain,offline,several,1,0,4,female,19,english,fluent
4dgkjp90,14,8,bar,student,cracking knuckles,offline,several,2,1,3,female,19,english,fluent
4dgkjp90,15,8,festival,colleague,high altitude coin,offline,none,9,1,4,female,19,english,fluent
4dgkjp90,17,8,movie theater,friend,Columbus discovered America,offline,none,10,0,3,female,19,english,fluent
4dgkjp90,18,8,train,colleague,eating before swimming,offline,none,4,0,5,female,19,english,fluent
4dgkjp90,19,9,museum,student,Columbus discovered America,offline,none,10,0,3,female,19,english,fluent
4dgkjp90,21,8,bar,student,short Napoleon,offline,none,13,1,4,female,19,english,fluent
4dgkjp90,22,8,museum,colleague,lightning never strikes twice,offline,several,8,1,3,female,19,english,fluent
4dgkjp90,23,9,museum,friend,shaving hair,offline,several,3,1,5,female,19,english,fluent
4dgkjp90,24,7,park,stranger,lightning never strikes twice,offline,none,8,1,3,female,19,english,fluent
4dgkjp90,25,8,university,friend,bulls red cape,offline,several,6,1,4,female,19,english,fluent
4dgkjp90,26,8,book store,student,Middle Ages life expectancy,offline,several,11,0,3,female,19,english,fluent
4dgkjp90,27,8,university,colleague,eating before swimming,offline,several,4,0,5,female,19,english,fluent
4dgkjp90,29,4,movie theater,stranger,high altitude coin,offline,several,9,1,4,female,19,english,fluent
4dgkjp90,30,9,train,colleague,10% brain,offline,none,1,0,4,female,19,english,fluent
4dgkjp90,31,8,book store,stranger,wait 24 hours,offline,none,15,1,4,female,19,english,fluent
4dgkjp90,32,4,park,stranger,Great Wall of China,offline,several,7,0,4,female,19,english,fluent
4dgkjp90,34,4,festival,stranger,heavy knights armor,offline,several,14,1,4,female,19,english,fluent
4dgkjp90,36,8,book store,friend,Eskimo words for snow,offline,several,16,0,3,female,19,english,fluent
4dgkjp90,38,4,festival,stranger,heavy knights armor,offline,none,14,1,4,female,19,english,fluent
4dgkjp90,40,8,movie theater,friend,high altitude coin,offline,none,9,1,4,female,19,english,fluent
4dgkjp90,41,4,train,stranger,lightning never strikes twice,offline,several,8,1,3,female,19,english,fluent
4dgkjp90,43,7,university,colleague,Columbus discovered America,offline,several,10,0,3,female,19,english,fluent
4dgkjp90,46,9,book store,friend,10% brain,offline,none,1,0,4,female,19,english,fluent
4dgkjp90,47,8,bar,colleague,bulls red cape,offline,several,6,1,4,female,19,english,fluent
ckcbps7l,2,6,train,stranger,10% brain,offline,none,1,1,2,female,19,english,advanced
ckcbps7l,4,3,bar,stranger,bulls red cape,offline,several,6,1,5,female,19,english,advanced
ckcbps7l,6,7,book store,student,heavy knights armor,offline,none,14,1,2,female,19,english,advanced
ckcbps7l,7,7,festival,stranger,ostriches head in sand,offline,none,5,0,3,female,19,english,advanced
ckcbps7l,9,7,university,colleague,Eskimo words for snow,offline,none,16,1,3,female,19,english,advanced
ckcbps7l,10,5,university,colleague,Vikings horned helmets,offline,several,12,0,2,female,19,english,advanced
ckcbps7l,11,7,bar,stranger,heavy knights armor,offline,none,14,1,2,female,19,english,advanced
ckcbps7l,12,7,park,friend,eating before swimming,offline,several,4,1,4,female,19,english,advanced
ckcbps7l,13,5,movie theater,student,Great Wall of China,offline,none,7,1,4,female,19,english,advanced
ckcbps7l,15,8,bar,friend,Eskimo words for snow,offline,none,16,1,3,female,19,english,advanced
ckcbps7l,17,6,museum,colleague,shaving hair,offline,several,3,0,3,female,19,english,advanced
ckcbps7l,18,4,train,friend,short Napoleon,offline,several,13,1,2,female,19,english,advanced
ckcbps7l,20,7,festival,stranger,cracking knuckles,offline,several,2,1,3,female,19,english,advanced
ckcbps7l,22,7,university,student,shaving hair,offline,none,3,0,3,female,19,english,advanced
ckcbps7l,23,7,park,stranger,eating before swimming,offline,none,4,1,4,female,19,english,advanced
ckcbps7l,24,6,museum,student,high altitude coin,offline,several,9,1,4,female,19,english,advanced
ckcbps7l,26,6,park,colleague,shaving hair,offline,none,3,0,3,female,19,english,advanced
ckcbps7l,27,6,university,student,heavy knights armor,offline,several,14,1,2,female,19,english,advanced
ckcbps7l,28,6,book store,student,Middle Ages life expectancy,offline,none,11,1,2,female,19,english,advanced
ckcbps7l,30,5,park,stranger,Great Wall of China,offline,several,7,1,4,female,19,english,advanced
ckcbps7l,31,7,movie theater,friend,wait 24 hours,offline,several,15,1,3,female,19,english,advanced
ckcbps7l,33,6,train,student,lightning never strikes twice,offline,several,8,1,4,female,19,english,advanced
ckcbps7l,34,7,book store,stranger,10% brain,offline,none,1,1,2,female,19,english,advanced
ckcbps7l,35,5,festival,colleague,Columbus discovered America,offline,none,10,1,3,female,19,english,advanced
ckcbps7l,38,6,train,colleague,Vikings horned helmets,offline,none,12,0,2,female,19,english,advanced
ckcbps7l,39,6,movie theater,student,Middle Ages life expectancy,offline,several,11,1,2,female,19,english,advanced
ckcbps7l,41,6,bar,stranger,Great Wall of China,offline,several,7,1,4,female,19,english,advanced
ckcbps7l,43,8,book store,friend,Eskimo words for snow,offline,none,16,1,3,female,19,english,advanced
ckcbps7l,44,8,museum,friend,wait 24 hours,offline,several,15,1,3,female,19,english,advanced
ckcbps7l,45,6,movie theater,colleague,Middle Ages life expectancy,offline,none,11,1,2,female,19,english,advanced
ckcbps7l,46,5,festival,stranger,lightning never strikes twice,offline,none,8,1,4,female,19,english,advanced
ckcbps7l,47,7,museum,friend,high altitude coin,offline,several,9,1,4,female,19,english,advanced
eupdqfyr,1,6,festival,friend,wait 24 hours,offline,several,15,0,4,female,19,english,fluent
eupdqfyr,2,1,bar,stranger,Eskimo words for snow,offline,several,16,0,3,female,19,english,fluent
eupdqfyr,3,6,book store,student,high altitude coin,offline,several,9,0,3,female,19,english,fluent
eupdqfyr,4,7,festival,colleague,bulls red cape,offline,several,6,0,2,female,19,english,fluent
eupdqfyr,6,7,university,colleague,wait 24 hours,offline,several,15,0,4,female,19,english,fluent
eupdqfyr,7,3,university,colleague,short Napoleon,offline,several,13,0,3,female,19,english,fluent
eupdqfyr,8,8,park,friend,eating before swimming,offline,none,4,0,2,female,19,english,fluent
eupdqfyr,9,8,museum,stranger,short Napoleon,offline,several,13,0,3,female,19,english,fluent
eupdqfyr,10,3,book store,stranger,Columbus discovered America,offline,none,10,1,4,female,19,english,fluent
eupdqfyr,11,6,university,friend,bulls red cape,offline,none,6,0,2,female,19,english,fluent
eupdqfyr,12,2,bar,colleague,Columbus discovered America,offline,none,10,1,4,female,19,english,fluent
eupdqfyr,13,5,train,student,10% brain,offline,none,1,0,4,female,19,english,fluent
eupdqfyr,14,2,festival,friend,10% brain,offline,none,1,0,4,female,19,english,fluent
eupdqfyr,16,6,train,friend,Middle Ages life expectancy,offline,several,11,1,5,female,19,english,fluent
eupdqfyr,19,2,bar,colleague,heavy knights armor,offline,none,14,0,1,female,19,english,fluent
eupdqfyr,23,8,train,friend,shaving hair,offline,several,3,0,3,female,19,english,fluent
eupdqfyr,24,4,movie theater,friend,Vikings horned helmets,offline,several,12,0,5,female,19,english,fluent
eupdqfyr,25,8,museum,colleague,cracking knuckles,offline,none,2,0,3,female,19,english,fluent
eupdqfyr,26,6,university,student,ostriches head in sand,offline,none,5,1,2,female,19,english,fluent
eupdqfyr,28,2,book store,stranger,ostriches head in sand,offline,several,5,1,2,female,19,english,fluent
eupdqfyr,30,5,park,student,short Napoleon,offline,none,13,0,3,female,19,english,fluent
eupdqfyr,31,3,park,stranger,heavy knights armor,offline,several,14,0,1,female,19,english,fluent
eupdqfyr,32,1,movie theater,stranger,lightning never strikes twice,offline,none,8,1,2,female,19,english,fluent
eupdqfyr,33,8,museum,colleague,Middle Ages life expectancy,offline,none,11,1,5,female,19,english,fluent
eupdqfyr,34,6,museum,colleague,bulls red cape,offline,several,6,0,2,female,19,english,fluent
eupdqfyr,37,3,book store,student,Vikings horned helmets,offline,several,12,0,5,female,19,english,fluent
eupdqfyr,40,8,festival,friend,shaving hair,offline,none,3,0,3,female,19,english,fluent
eupdqfyr,42,1,train,stranger,Vikings horned helmets,offline,none,12,0,5,female,19,english,fluent
eupdqfyr,43,3,movie theater,stranger,lightning never strikes twice,offline,none,8,1,2,female,19,english,fluent
eupdqfyr,45,4,movie theater,stranger,eating before swimming,offline,several,4,0,2,female,19,english,fluent
eupdqfyr,46,6,bar,student,Great Wall of China,offline,none,7,0,1,female,19,english,fluent
eupdqfyr,48,7,park,student,Great Wall of China,offline,several,7,0,1,female,19,english,fluent
v2bqpiwv,1,7,train,student,Middle Ages life expectancy,offline,none,11,0,3,female,19,english,fluent
v2bqpiwv,3,5,park,colleague,ostriches head in sand,offline,several,5,1,5,female,19,english,fluent
v2bqpiwv,4,8,park,friend,cracking knuckles,offline,none,2,0,2,female,19,english,fluent
v2bqpiwv,5,4,bar,student,short Napoleon,offline,several,13,0,4,female,19,english,fluent
v2bqpiwv,9,5,train,student,10% brain,offline,several,1,0,1,female,19,english,fluent
v2bqpiwv,10,6,park,colleague,high altitude coin,offline,several,9,0,3,female,19,english,fluent
v2bqpiwv,11,2,university,stranger,cracking knuckles,offline,none,2,0,2,female,19,english,fluent
v2bqpiwv,12,8,movie theater,student,Vikings horned helmets,offline,none,12,1,4,female,19,english,fluent
v2bqpiwv,13,3,museum,colleague,Columbus discovered America,offline,several,10,0,1,female,19,english,fluent
v2bqpiwv,14,8,bar,student,wait 24 hours,offline,none,15,0,5,female,19,english,fluent
v2bqpiwv,15,6,museum,friend,Middle Ages life expectancy,offline,none,11,0,3,female,19,english,fluent
v2bqpiwv,16,4,festival,student,shaving hair,offline,none,3,0,3,female,19,english,fluent
v2bqpiwv,19,1,festival,stranger,shaving hair,offline,none,3,0,3,female,19,english,fluent
v2bqpiwv,20,2,bar,stranger,Vikings horned helmets,offline,none,12,1,4,female,19,english,fluent
v2bqpiwv,21,6,university,colleague,bulls red cape,offline,none,6,1,3,female,19,english,fluent
v2bqpiwv,22,6,book store,colleague,bulls red cape,offline,none,6,1,3,female,19,english,fluent
v2bqpiwv,23,2,movie theater,stranger,short Napoleon,offline,none,13,0,4,female,19,english,fluent
v2bqpiwv,24,2,book store,stranger,Columbus discovered America,offline,several,10,0,1,female,19,english,fluent
v2bqpiwv,25,7,festival,friend,Eskimo words for snow,offline,none,16,0,3,female,19,english,fluent
v2bqpiwv,26,3,museum,colleague,bulls red cape,offline,several,6,1,3,female,19,english,fluent
v2bqpiwv,27,7,museum,colleague,eating before swimming,offline,none,4,0,5,female,19,english,fluent
v2bqpiwv,28,7,park,student,Great Wall of China,offline,several,7,1,2,female,19,english,fluent
v2bqpiwv,30,5,book store,colleague,Eskimo words for snow,offline,several,16,0,3,female,19,english,fluent
v2bqpiwv,31,7,movie theater,colleague,cracking knuckles,offline,none,2,0,2,female,19,english,fluent
v2bqpiwv,32,3,festival,student,eating before swimming,offline,several,4,0,5,female,19,english,fluent
v2bqpiwv,33,7,bar,friend,eating before swimming,offline,several,4,0,5,female,19,english,fluent
v2bqpiwv,34,8,university,student,heavy knights armor,offline,several,14,0,3,female,19,english,fluent
v2bqpiwv,35,2,movie theater,stranger,high altitude coin,offline,none,9,0,3,female,19,english,fluent
v2bqpiwv,36,7,book store,friend,lightning never strikes twice,offline,none,8,0,3,female,19,english,fluent
v2bqpiwv,37,8,train,student,ostriches head in sand,offline,none,5,1,5,female,19,english,fluent
v2bqpiwv,38,8,train,student,lightning never strikes twice,offline,none,8,0,3,female,19,english,fluent
v2bqpiwv,40,7,university,friend,wait 24 hours,offline,several,15,0,5,female,19,english,fluent
dsiwzpws,1,8,university,colleague,eating before swimming,offline,none,4,1,4,female,20,english,fluent
dsiwzpws,3,7,park,stranger,ostriches head in sand,offline,several,5,0,1,female,20,english,fluent
dsiwzpws,8,6,bar,student,Middle Ages life expectancy,offline,several,11,0,2,female,20,english,fluent
dsiwzpws,9,6,festival,student,high altitude coin,offline,several,9,1,5,female,20,english,fluent
dsiwzpws,10,5,festival,stranger,high altitude coin,offline,none,9,1,5,female,20,english,fluent
dsiwzpws,13,9,train,friend,heavy knights armor,offline,several,14,1,3,female,20,english,fluent
dsiwzpws,14,9,bar,student,short Napoleon,offline,none,13,0,3,female,20,english,fluent
dsiwzpws,15,9,museum,student,eating before swimming,offline,none,4,1,4,female,20,english,fluent
dsiwzpws,16,6,movie theater,student,Columbus discovered America,offline,several,10,0,5,female,20,english,fluent
dsiwzpws,17,6,train,colleague,Great Wall of China,offline,several,7,0,2,female,20,english,fluent
dsiwzpws,18,6,museum,stranger,lightning never strikes twice,offline,none,8,0,3,female,20,english,fluent
dsiwzpws,20,9,train,friend,wait 24 hours,offline,none,15,0,3,female,20,english,fluent
dsiwzpws,21,6,museum,stranger,Vikings horned helmets,offline,several,12,0,2,female,20,english,fluent
dsiwzpws,23,7,park,stranger,Columbus discovered America,offline,none,10,0,5,female,20,english,fluent
dsiwzpws,25,7,festival,colleague,heavy knights armor,offline,none,14,1,3,female,20,english,fluent
dsiwzpws,26,8,book store,colleague,eating before swimming,offline,none,4,1,4,female,20,english,fluent
dsiwzpws,27,8,festival,colleague,Great Wall of China,offline,none,7,0,2,female,20,english,fluent
dsiwzpws,28,7,book store,student,high altitude coin,offline,several,9,1,5,female,20,english,fluent
dsiwzpws,30,9,bar,student,Eskimo words for snow,offline,none,16,0,1,female,20,english,fluent
dsiwzpws,31,7,park,colleague,short Napoleon,offline,several,13,0,3,female,20,english,fluent
dsiwzpws,32,8,university,student,Middle Ages life expectancy,offline,none,11,0,2,female,20,english,fluent
dsiwzpws,34,9,train,stranger,10% brain,offline,none,1,0,3,female,20,english,fluent
dsiwzpws,35,9,university,friend,shaving hair,offline,none,3,1,3,female,20,english,fluent
dsiwzpws,36,7,movie theater,student,bulls red cape,offline,none,6,0,3,female,20,english,fluent
dsiwzpws,37,7,movie theater,stranger,heavy knights armor,offline,several,14,1,3,female,20,english,fluent
dsiwzpws,38,8,bar,colleague,ostriches head in sand,offline,several,5,0,1,female,20,english,fluent
dsiwzpws,41,7,museum,stranger,ostriches head in sand,offline,several,5,0,1,female,20,english,fluent
dsiwzpws,44,9,book store,friend,shaving hair,offline,several,3,1,3,female,20,english,fluent
dsiwzpws,45,7,book store,stranger,bulls red cape,offline,none,6,0,3,female,20,english,fluent
dsiwzpws,46,9,park,colleague,10% brain,offline,none,1,0,3,female,20,english,fluent
dsiwzpws,47,6,university,stranger,bulls red cape,offline,several,6,0,3,female,20,english,fluent
dsiwzpws,48,6,movie theater,stranger,Vikings horned helmets,offline,none,12,0,2,female,20,english,fluent
q06tfbwt,1,9,park,student,cracking knuckles,offline,several,2,0,3,female,20,english,fluent
q06tfbwt,2,9,park,colleague,eating before swimming,offline,several,4,1,5,female,20,english,fluent
q06tfbwt,3,7,bar,student,lightning never strikes twice,offline,none,8,0,2,female,20,english,fluent
q06tfbwt,4,8,movie theater,student,10% brain,offline,several,1,0,5,female,20,english,fluent
q06tfbwt,6,7,museum,friend,bulls red cape,offline,none,6,1,3,female,20,english,fluent
q06tfbwt,7,7,train,student,Eskimo words for snow,offline,none,16,1,2,female,20,english,fluent
q06tfbwt,10,5,museum,stranger,heavy knights armor,offline,none,14,1,4,female,20,english,fluent
